State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
Michigan,14,-27,3.6750287971766374e-07,6.020607942864153e-05
Minnesota,1,1,0.42273381572432595,0.4831749609843627
Minnesota,2,2,0.5514358942496351,0.568891475802566
Minnesota,3,2,0.5514358942496351,0.568891475802566
Minnesota,4,-11,0.0014598247260918594,0.014727663679606219
Minnesota,5,-22,4.899558940261387e-06,0.00033723273341886695
Minnesota,6,8,0.9649290899200337,0.9125569112723472
Minnesota,7,5,0.8532820728056519,0.7877299526405168
Minnesota,8,-3,0.08442413888664353,0.19062607814605936
Mississippi,1,14,0.9983786787146792,0.9880286421484608
Mississippi,2,-10,0.002448218990342115,0.020662920697178594
Mississippi,3,15,0.9990335614988052,0.9914890146477628
Mississippi,4,20,0.9999274454879611,0.998470260926262
Missouri,1,-27,3.6750287971766374e-07,6.020607942864153e-05
Missouri,2,7,0.9424944103047977,0.8808607813658753
Missouri,3,9,0.9788081165482252,0.936429082157556
Missouri,4,11,0.9923758941399452,0.9670490303906403
Missouri,5,-10,0.002448218990342115,0.020662920697178594
Missouri,6,9,0.9788081165482252,0.936429082157556
Missouri,7,17,0.9996568485744834,0.9957099643085209
Missouri,8,13,0.9972812387131679,0.9831852210531473
Nebraska,1,11,0.9923758941399452,0.9670490303906403
Nebraska,2,6,0.9070902253241444,0.8396937868652009
Nebraska,3,23,0.9999846626492032,0.9994554975218557
Nevada,1,-11,0.0014598247260918594,0.014727663679606219
Nevada,2,5,0.8532820728056519,0.7877299526405168
Nevada,3,0,0.3037305957833255,0.39843721363982787
Nevada,4,-2,0.13404410522504243,0.24949792805851903
New Hampshire,1,0,0.3037305957833255,0.39843721363982787
New Hampshire,2,-3,0.08442413888664353,0.19062607814605936
New Jersey,1,-12,0.000870116650498475,0.010479019144397502
New Jersey,2,0,0.3037305957833255,0.39843721363982787
New Jersey,3,2,0.5514358942496351,0.568891475802566
New Jersey,4,7,0.9424944103047977,0.8808607813658753
New Jersey,6,-6,0.019118331974973705,0.07727837452479874
New Jersey,7,6,0.9070902253241444,0.8396937868652009
New Jersey,8,-20,1.3807415723066767e-05,0.0006716581586231424
New Jersey,9,-11,0.0014598247260918594,0.014727663679606219
New Jersey,10,-31,4.627456229097689e-08,1.5168133390890086e-05
New Jersey,11,5,0.8532820728056519,0.7877299526405168
New Jersey,12,-12,0.000870116650498475,0.010479019144397502
New Mexico,1,-5,0.03168330244275846,0.10571686202800692
New Mexico,2,6,0.9070902253241444,0.8396937868652009
New Mexico,3,-7,0.011477317033437363,0.05601087149340324
New York,1,0,0.3037305957833255,0.39843721363982787
New York,2,1,0.42273381572432595,0.4831749609843627
New York,3,-3,0.08442413888664353,0.19062607814605936
New York,4,-4,0.05206788089236413,0.14299885661911807
New York,5,-33,1.642037417082073e-08,7.613275330295405e-06
New York,6,-12,0.000870116650498475,0.010479019144397502
New York,7,-31,4.627456229097689e-08,1.5168133390890086e-05
New York,8,-33,1.642037417082073e-08,7.613275330295405e-06
New York,9,-31,4.627456229097689e-08,1.5168133390890086e-05
New York,10,-24,1.738597600818172e-06,0.00016929291861035885
New York,11,4,0.7760064414856918,0.7244494020391539
New York,12,-28,2.1891784755213126e-07,4.2654615160802155e-05
New York,13,-41,2.6034301080694314e-10,4.831912885959269e-07
New York,14,-23,2.918624374782235e-06,0.0002389408919178783
New York,15,-41,2.6034301080694314e-10,4.831912885959269e-07
New York,16,-19,2.3178641200975163e-05,0.0009477858458170695
New York,17,-5,0.03168330244275846,0.10571686202800692
New York,18,2,0.5514358942496351,0.568891475802566
New York,19,0,0.3037305957833255,0.39843721363982787
New York,20,-7,0.011477317033437363,0.05601087149340324
New York,21,2,0.5514358942496351,0.568891475802566
