State,District,Trump (%),Clinton (%),Representative
Virginia,1,41,53,Rob Wittman
Virginia,2,45,48,Scott Rigell
Virginia,3,63,32,Robert C. Scott
Virginia,4,58,37,Randy Forbes
Virginia,5,42,53,Robert Hurt
Virginia,6,35,59,Bob Goodlatte
Virginia,7,44,50,Dave Brat
Virginia,8,72,21,Don Beyer
Virginia,9,27,68,Morgan Griffith
Virginia,10,52,42,Barbara Comstock
Virginia,11,66,27,Gerry Connolly
Washington,1,37.85,54.13,Suzan DelBene
Washington,2,34.82,56.92,Rick Larsen
Washington,3,49.93,42.52,Jaime Herrera Beutler
Washington,4,57.92,35.06,Dan Newhouse
Washington,5,52.17,39.14,Cathy McMorris Rodgers
Washington,6,39.48,51.83,Derek Kilmer
Washington,7,12.18,82.13,Jim McDermott
Washington,8,44.67,47.72,Dave Reichert
Washington,9,23.34,70.47,Adam Smith
Washington,10,39.9,51.25,Denny Heck
West Virginia,1,68,26,David McKinley
West Virginia,2,66,29,Alex Mooney
West Virginia,3,73,23,Evan Jenkins
Wisconsin,1,52,42,Paul Ryan
Wisconsin,2,29,65,Mark Pocan
Wisconsin,3,49,44,Ron Kind
Wisconsin,4,22,73,Gwen Moore
Wisconsin,5,57,37,Jim Sensenbrenner
Wisconsin,6,55,38,Glenn Grothman
Wisconsin,7,58,37,Sean Duffy
Wisconsin,8,57,37,Mike Gallagher
Wyoming,1,68.17,21.88,Liz Cheney
