State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (%),2016 Trump (%)
Texas,11,29,79.17,78.0,79.17,78.0
Texas,12,17,66.84,62.0,66.84,62.0
Texas,13,29,80.2,80.0,80.2,80.0
Texas,14,8,59.34,58.0,59.34,58.0
Texas,15,-1,41.55,40.0,41.55,40.0
Texas,16,-9,34.5,27.0,34.5,27.0
Texas,17,12,60.4,56.0,60.4,56.0
Texas,18,-22,22.81,20.0,22.81,20.0
Texas,19,26,73.6,72.0,73.6,72.0
Texas,20,-3,39.7,34.0,39.7,34.0
Texas,21,11,59.84,52.0,59.84,52.0
Texas,22,15,62.13,52.0,62.13,52.0
Texas,23,5,50.74,46.0,50.74,46.0
Texas,24,14,60.44,51.0,60.44,51.0
Texas,25,10,59.9,55.0,59.9,55.0
Texas,26,20,67.6,60.0,67.6,60.0
Texas,27,13,60.53,60.0,60.53,60.0
Texas,28,-2,38.7,38.0,38.7,38.0
Texas,29,-8,32.99,25.0,32.99,25.0
Texas,30,-23,19.65,18.0,19.65,18.0
Texas,31,13,59.59,53.0,59.59,53.0
Texas,32,10,57.0,47.0,57.0,47.0
Texas,33,-14,27.1,24.0,27.1,24.0
Texas,34,-3,38.33,38.0,38.33,38.0
Texas,35,-9,34.63,30.0,34.63,30.0
Texas,36,20,73.15,72.0,73.15,72.0
Utah,1,25,78.0,49.7,78.0,49.7
Utah,2,16,68.0,46.0,68.0,46.0
Utah,3,25,79.0,47.2,79.0,47.2
Utah,4,14,68.0,39.1,68.0,39.1
Virginia,1,8,53.1,53.0,53.1,53.0
Virginia,2,5,48.6,48.0,48.6,48.0
Virginia,3,-23,19.99,32.0,19.99,32.0
Virginia,4,6,50.14,37.0,50.14,37.0
Virginia,5,6,52.55,53.0,52.55,53.0
Virginia,6,12,58.84,59.0,58.84,59.0
Virginia,7,11,56.94,50.0,56.94,50.0
Virginia,8,-15,31.0,21.0,31.0,21.0
Virginia,9,11,63.08,68.0,63.08,68.0
Virginia,10,4,49.9,42.0,49.9,42.0
Virginia,11,-7,36.3,27.0,36.3,27.0
Washington,1,-3,43.3,37.85,43.3,37.85
Washington,2,-8,38.0,34.82,38.0,34.82
Washington,3,2,49.6,49.93,49.6,49.93
