State,District,Trump (%),Clinton (%),Representative
New York,28,7.4,91.2,Adrienne Adams
New York,29,27.4,68.8,Karen Koslowitz
New York,30,39.9,56.4,Elizabeth Crowley
New York,31,9.0,89.1,Donovan Richards
New York,32,37.6,59.6,Eric Ulrich
New York,33,10.4,85.6,Stephen Levin
New York,34,7.2,89.1,Antonio Reynoso
New York,35,5.3,91.6,Laurie Cumbo
New York,36,1.9,95.1,Robert Cornegy
New York,37,5.5,91.8,Rafael Espinal
New York,38,16.8,79.7,Carlos Menchaca
New York,39,11.4,85.0,Brad Lander
New York,40,5.3,91.9,Mathieu Eugene
New York,41,2.7,95.6,Darlene Mealy
New York,42,3.5,95.2,Inez Barron
New York,43,40.9,54.7,Vincent J. Gentile
New York,44,64.5,31.4,David G. Greenfield
New York,45,13.6,84.2,Jumaane Williams
New York,46,22.8,75.0,Alan Maisel
New York,47,43.0,54.2,Mark Treyger
New York,48,58.1,38.8,Chaim Deutsch
New York,49,29.6,67.1,Debi Rose
New York,50,62.0,34.9,Steven Matteo
New York,51,71.9,25.5,Joe Borelli
New York,52,54,42,Lee Zeldin
New York,53,53,44,Peter T. King
New York,54,45,51,Steve Israel
New York,55,43,53,Kathleen Rice
New York,56,13,85,Gregory Meeks
New York,57,32,65,Grace Meng
New York,58,10,86,Nydia Velázquez
New York,59,13,84,Hakeem Jeffries
New York,60,14,83,Yvette Clarke
New York,61,19,77,Jerry Nadler
New York,62,53,44,Dan Donovan
New York,63,13,82,Carolyn Maloney
New York,64,5,92,Charles B. Rangel
New York,65,20,77,Joe Crowley
New York,66,5,94,Jose Serrano
New York,67,22,75,Eliot Engel
New York,68,38,58,Nita Lowey
New York,69,49,47,Sean Patrick Maloney
New York,70,50,44,John Faso
New York,71,40,53,Paul Tonko
New York,72,53,39,Elise Stefanik
New York,73,54,39,Richard L. Hanna
New York,74,54,39,Tom Reed
New York,75,45,49,John Katko
New York,76,39,55,Louise Slaughter
New York,77,38,57,Brian Higgins
New York,78,59,35,Chris Collins
North Carolina,1,30,67,G. K. Butterfield
North Carolina,2,54,42,Renee Ellmers
North Carolina,3,60,36,Walter B. Jones
North Carolina,4,27,68,David Price
North Carolina,5,57,39,Virginia Foxx
North Carolina,6,56,41,Mark Walker
North Carolina,7,57,39,David Rouzer
North Carolina,8,56,41,Richard Hudson
North Carolina,9,54,42,Robert Pittenger
North Carolina,10,60,36,Patrick McHenry
North Carolina,11,62,33,Mark Meadows
North Carolina,12,28,68,Alma Adams
North Carolina,13,53,44,Ted Budd
North Dakota,1,62.96,27.23,Kevin Cramer
Ohio,1,51,45,Steve Chabot
Ohio,2,56,40,Brad Wenstrup
Ohio,3,28,67,Joyce Beatty
