State,District,Obama (%),Romney (%),Representative,
Pennsylvania,7,50.36,48.53,Pat Meehan,
Pennsylvania,8,49.42,49.35,Mike Fitzpatrick,
Pennsylvania,9,62.82,35.87,Bill Shuster,
Pennsylvania,10,60.11,38.46,Tom Marino,
Pennsylvania,11,53.90,44.57,Lou Barletta,
Pennsylvania,12,57.81,40.94,Mark Critz,
Pennsylvania,13,32.91,66.17,Allyson Schwartz,
Pennsylvania,14,30.64,67.99,Mike Doyle,
Pennsylvania,15,50.78,47.87,Charlie Dent,
Pennsylvania,16,52.35,46.25,Joe Pitts,
Pennsylvania,17,43.26,55.38,Tim Holden,
Pennsylvania,18,57.95,40.99,Tim Murphy,
Rhode Island,1,66.21,32.18,David Cicilline,
Rhode Island,2,59.84,38.29,James Langevin,
South Carolina,1,58.25,40.2,Tim Scott,
South Carolina,2,59.14,39.43,Joe Wilson,
South Carolina,3,64.55,33.95,Jeff Duncan,
South Carolina,4,62.17,36.2,Trey Gowdy,
South Carolina,5,55.1,43.62,Mick Mulvaney,
South Carolina,6,28.1,70.9,Jim Clyburn,
South Carolina,7,54.55,44.43,Tom Rice,
South Dakota,1,57.89,39.87,Kristi Noem,
Tennessee,1,67.3,30.9,"John J. Duncan, Jr.",
Tennessee,2,63.3,35.1,Chuck Fleischmann,
Tennessee,3,65.3,33.1,Scott DesJarlais,
Tennessee,4,42.5,55.9,Jim Cooper,
Tennessee,5,69.1,29.5,Diane Black,
Tennessee,6,65.7,32.9,Marsha Blackburn,
Tennessee,7,66.1,32.8,Stephen Fincher,
Tennessee,8,20.9,78.3,Steve Cohen,
Texas,1,71.5,27.5,Louie Gohmert,
Texas,2,63.95,35.56,Ted Poe,
Texas,3,64.32,34.21,Sam Johnson,
Texas,4,74,24.8,Ralph Hall,
Texas,5,64.5,34.4,Jeb Hensarling,
Texas,6,57.9,40.8,Joe Barton,
Texas,7,59.9,38.6,John Culberson,
Texas,8,77,21.75,Kevin Brady,
Texas,9,21,78,Al Green,
Texas,10,59.12,38.8,Michael McCaul,
Texas,11,79.17,19.57,Mike Conaway,
Texas,12,66.84,31.68,Kay Granger,
Texas,13,80.2,18.5,Mac Thornberry,
Texas,14,59.34,39.5,Randy Weber,
Texas,15,41.55,57.44,Rubén Hinojosa,
