State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
Georgia,9,27,0.9999980729313772,0.9998627761049027
Georgia,10,13,0.9972837870096883,0.9831858897585969
Georgia,11,19,0.9998783852177809,0.997842217148889
Georgia,12,9,0.9788203567440139,0.9364314226572514
Georgia,13,-10,0.002445601337579674,0.020663607460059952
Georgia,14,23,0.999984690466664,0.9994555210753621
Hawaii,1,-11,0.0014581349075927705,0.014728152033092958
Hawaii,2,-14,0.0003084924171901966,0.005287417461597563
Idaho,1,18,0.9997958411746329,0.9969569832160343
Idaho,2,17,0.9996572909158259,0.9957101419298799
Illinois,1,-28,2.1833901649755524e-07,4.265584529905037e-05
Illinois,2,-27,3.6656325768871495e-07,6.0207832759421115e-05
Illinois,3,-5,0.03166383106662207,0.10572020437404457
Illinois,4,-26,6.1541272156452e-07,8.498148187237598e-05
Illinois,5,-16,0.00010947013495628658,0.0026608764821279413
Illinois,6,5,0.8533121446172204,0.7877363374689069
Illinois,7,-37,2.0605000445791613e-09,1.91803999806756e-06
Illinois,8,-6,0.019104790231585116,0.07728087526565654
Illinois,9,-15,0.00018377271254659704,0.0037517293847961685
Illinois,10,-8,0.006862678760494614,0.04034177205213788
Illinois,11,-6,0.019104790231585116,0.07728087526565654
Illinois,12,-2,0.1340008919635905,0.24950470698379365
Illinois,13,-1,0.20621142917686522,0.31938491799328894
Illinois,14,6,0.9071178423397204,0.8396989648668817
Illinois,15,11,0.9923816820367358,0.9670503012636156
Illinois,16,4,0.7760329858297119,0.7244569679482699
Illinois,17,-6,0.019104790231585116,0.07728087526565654
Illinois,18,10,0.9872756262519052,0.9541135447176505
Indiana,1,-9,0.004099046731127289,0.028920842973336844
Indiana,2,7,0.9425169118321327,0.880864848020504
Indiana,3,13,0.9972837870096883,0.9831858897585969
Indiana,4,13,0.9972837870096883,0.9831858897585969
Indiana,5,11,0.9923816820367358,0.9670503012636156
Indiana,6,12,0.9954482187433324,0.9764299019497752
Indiana,7,-9,0.004099046731127289,0.028920842973336844
Indiana,8,8,0.9649460995524562,0.9125600260141672
Indiana,9,9,0.9788203567440139,0.9364314226572514
Iowa,1,-5,0.03166383106662207,0.10572020437404457
Iowa,2,-4,0.05204087199819591,0.143003223890295
Iowa,3,1,0.4227070194754694,0.483184213485355
Iowa,4,4,0.7760329858297119,0.7244569679482699
Kansas,1,22,0.9999742975167247,0.9992316380605979
Kansas,2,7,0.9425169118321327,0.880864848020504
Kansas,3,5,0.8533121446172204,0.7877363374689069
Kansas,4,14,0.9983803415614677,0.988029123930648
Kentucky,1,14,0.9983803415614677,0.988029123930648
Kentucky,2,15,0.9990346377390219,0.9914893607576533
Kentucky,3,-3,0.08438860135709772,0.19063162011656146
Kentucky,4,15,0.9990346377390219,0.9914893607576533
Kentucky,5,16,0.9994247690655725,0.9939555191259565
Kentucky,6,7,0.9425169118321327,0.880864848020504
Louisiana,1,23,0.999984690466664,0.9994555210753621
Louisiana,2,-22,4.889170673678962e-06,0.0003372430289475065
Louisiana,3,15,0.9990346377390219,0.9914893607576533
Louisiana,4,11,0.9923816820367358,0.9670503012636156
Louisiana,5,14,0.9983803415614677,0.988029123930648
Louisiana,6,19,0.9998783852177809,0.997842217148889
Maine,1,-8,0.006862678760494614,0.04034177205213788
Maine,2,-3,0.08438860135709772,0.19063162011656146
Maryland,1,14,0.9983803415614677,0.988029123930648
Maryland,2,-7,0.011468132135143845,0.05601271081983976
Maryland,3,-7,0.011468132135143845,0.05601271081983976
Maryland,4,-23,2.9121813116823747e-06,0.00023894811972414512
Maryland,5,-11,0.0014581349075927705,0.014728152033092958
Maryland,6,-2,0.1340008919635905,0.24950470698379365
Maryland,7,-23,2.9121813116823747e-06,0.00023894811972414512
Maryland,8,-10,0.002445601337579674,0.020663607460059952
Massachusetts,1,-13,0.0005178109095391292,0.0074470069269608665
Massachusetts,2,-10,0.002445601337579674,0.020663607460059952
Massachusetts,3,-8,0.006862678760494614,0.04034177205213788
Massachusetts,4,-10,0.002445601337579674,0.020663607460059952
Massachusetts,5,-16,0.00010947013495628658,0.0026608764821279413
Massachusetts,6,-7,0.011468132135143845,0.05601271081983976
Massachusetts,7,-30,7.746332215958878e-08,2.1410344219278146e-05
Massachusetts,8,-9,0.004099046731127289,0.028920842973336844
Massachusetts,9,-8,0.006862678760494614,0.04034177205213788
Michigan,2,7,0.9425169118321327,0.880864848020504
Michigan,3,5,0.8533121446172204,0.7877363374689069
Michigan,4,4,0.7760329858297119,0.7244569679482699
Michigan,5,-10,0.002445601337579674,0.020663607460059952
Michigan,6,1,0.4227070194754694,0.483184213485355
Michigan,7,3,0.6736134392975257,0.6506784766166059
Michigan,8,2,0.5514303783586642,0.5689006323590344
Michigan,9,-5,0.03166383106662207,0.10572020437404457
Michigan,10,5,0.8533121446172204,0.7877363374689069
Michigan,11,4,0.7760329858297119,0.7244569679482699
Michigan,12,-14,0.0003084924171901966,0.005287417461597563
Michigan,13,-34,9.75047029099341e-09,5.393893226520442e-06
Michigan,14,-27,3.6656325768871495e-07,6.0207832759421115e-05
Minnesota,1,1,0.4227070194754694,0.483184213485355
Minnesota,2,2,0.5514303783586642,0.5689006323590344
Minnesota,3,2,0.5514303783586642,0.5689006323590344
Minnesota,4,-11,0.0014581349075927705,0.014728152033092958
